task,sub,condition,a,v,t,st,alpha
flanker,1,congruent,2.0929327,5.856579,0.2268737,0.08838603,1.4730519
flanker,10,congruent,1.4461802,4.096464,0.28151226,0.10564855,1.2758656
flanker,11,congruent,1.481692,3.9050817,0.2343744,0.0940826,1.295517
flanker,12,congruent,2.1259325,5.7370715,0.247386,0.09325681,1.4895711
flanker,13,congruent,2.0035424,5.244627,0.22271788,0.09969367,1.4370849
flanker,14,congruent,1.5823478,4.360564,0.25351387,0.10475174,1.3217438
flanker,15,congruent,1.7400565,4.9271264,0.2181315,0.087589905,1.3475667
flanker,16,congruent,1.5414419,4.4077415,0.24709183,0.09623232,1.3421324
flanker,17,congruent,2.1043262,5.612652,0.21531732,0.08578367,1.422806
flanker,18,congruent,1.9927543,5.1119137,0.22299738,0.097112976,1.4034317
flanker,19,congruent,2.0190482,5.229707,0.2374442,0.09325285,1.3879535
flanker,1934,congruent,2.8776789,3.155673,0.27584773,0.15896957,1.49617
flanker,1935,congruent,2.7224545,5.6822457,0.3435993,0.10282522,1.4536922
flanker,1936,congruent,2.6553583,5.151718,0.28166664,0.10574019,1.452286
flanker,1937,congruent,2.7465162,4.919386,0.23239212,0.10078145,1.411094
flanker,1938,congruent,2.4465165,5.6395817,0.22750792,0.086164765,1.3859149
flanker,1939,congruent,1.31021,0.46588564,0.17310809,0.14198205,1.1798866
flanker,1940,congruent,3.1069708,3.9021616,0.19690998,0.13691545,1.4239622
flanker,1941,congruent,3.0783286,2.7243261,0.47614545,0.21943423,1.4907031
flanker,1942,congruent,2.7705896,4.310858,0.23214072,0.10546934,1.3160427
flanker,1943,congruent,3.6094499,4.0100155,0.29870966,0.15269303,1.4616451
flanker,1944,congruent,2.7869983,4.346545,0.3228127,0.12312733,1.4827507
flanker,1945,congruent,2.697084,4.7830653,0.32392317,0.122043654,1.4861633
flanker,1946,congruent,2.9282348,3.795804,0.28511637,0.13225499,1.4933252
flanker,1947,congruent,3.1305835,4.419201,0.37702587,0.13953133,1.4141284
flanker,1948,congruent,2.753446,4.0798206,0.3519257,0.12219636,1.504415
flanker,1949,congruent,3.4940524,4.25096,0.37182537,0.14740549,1.4400799
flanker,1950,congruent,1.5041583,-0.83103204,0.35500005,0.27328244,1.2308115
flanker,1951,congruent,3.0282164,3.583449,0.231812,0.1324335,1.4928943
flanker,1952,congruent,3.331987,5.2343554,0.17858626,0.12370856,1.3887532
flanker,1953,congruent,2.4153516,5.1011477,0.22654572,0.10641833,1.4760413
flanker,1954,congruent,3.4474506,2.547743,0.39715752,0.22677411,1.5528579
flanker,1955,congruent,3.260673,2.9651644,0.41154426,0.1988856,1.4593765
flanker,1956,congruent,2.7853954,3.5534804,0.3558308,0.14790681,1.4165776
flanker,1957,congruent,3.0847692,4.2723827,0.32965696,0.13239619,1.4434901
flanker,1958,congruent,2.681216,4.1305485,0.31570545,0.12725051,1.5245461
flanker,1959,congruent,2.5308564,3.5496507,0.20235945,0.121379234,1.5018079
flanker,1960,congruent,1.375325,0.15104222,0.16366777,0.12130304,1.2277377
flanker,1961,congruent,3.0457268,3.867916,0.30034435,0.14373386,1.5350477
flanker,1962,congruent,3.3215165,3.2367556,0.28734955,0.15808152,1.5342166
flanker,1963,congruent,2.6142888,4.976032,0.1934542,0.09419847,1.37617
flanker,1964,congruent,3.0083385,3.9249234,0.3074014,0.15787853,1.5583128
flanker,1965,congruent,2.8363564,4.866813,0.29845333,0.11581251,1.4430839
flanker,1966,congruent,3.3868165,3.8164973,0.19708718,0.14668751,1.3940724
flanker,2,congruent,1.8919182,4.7753944,0.22055036,0.1029449,1.4425949
flanker,20,congruent,1.8510126,4.8467746,0.23135948,0.09901208,1.3668666
