sub,a_pi,a_ni,v_pi,v_ni,t,st,alpha
1,2.3917496,2.4674616,4.0755515,3.5847414,0.44321644,0.13494065,1.9919364
10,2.3944473,2.6175075,3.8322515,3.20448,0.4613322,0.09460302,1.999486
100,2.0923445,2.3833628,5.099701,3.9460297,0.59464633,0.13740408,2.0201151
101,1.4582872,2.2122538,5.994871,6.400162,0.4657783,0.098885596,1.999442
102,2.290142,2.5294008,4.061622,4.097332,0.4790842,0.12334674,2.0091276
103,2.3740363,2.4069123,3.699641,3.8798907,0.41763827,0.104285546,1.9819293
104,1.906507,1.961754,4.5125575,4.956768,0.4457875,0.07790718,1.9296006
105,2.446055,2.3036962,3.754531,3.204034,0.42512137,0.054574713,2.0178835
106,3.2926784,4.2600718,5.033362,4.059091,0.4010475,0.43923178,1.8429623
107,2.1845815,2.3396626,4.273496,5.204054,0.4431165,0.07848827,2.0424032
108,2.2206879,2.568668,3.7495031,4.0663443,0.3988407,0.097498655,2.0043027
109,1.7997408,2.1549149,3.1766822,4.647607,0.3557489,0.07062483,1.8829635
11,2.3030648,2.7270885,3.3559358,4.1904435,0.3830356,0.102659665,1.9973501
110,1.9752955,2.4529028,5.175995,7.5996203,0.44636995,0.118449084,1.981992
111,1.3267287,2.585991,4.4493847,9.323353,0.4313128,0.05765006,1.9863694
112,2.116416,2.3295689,3.8892562,3.3031034,0.3744242,0.054540932,2.0103743
113,1.7537224,1.7145101,4.438112,5.8752484,0.48583767,0.13020205,1.7714921
114,2.0910041,3.4377227,3.5637865,5.409045,0.39161465,0.17020418,1.8074079
115,2.02851,2.5942843,3.9562137,5.770459,0.4250721,0.10296848,1.983603
116,2.8948517,2.531713,3.5492043,3.327646,0.41617593,0.12332843,1.9640565
117,3.1391091,2.1712213,3.6497629,2.3802488,0.4027134,0.044444412,1.9865906
118,1.7268827,2.6384926,5.055829,4.858919,0.42885286,0.10892596,2.0640693
119,2.341752,2.3321838,3.6241689,3.566398,0.42387435,0.11146757,1.9804838
12,1.913682,1.5537417,3.4843001,2.9860537,0.33894157,0.053691715,1.7735236
120,1.4942353,1.9013301,5.5045967,5.609063,0.46665496,0.03706819,2.0156627
121,2.4805655,2.1918583,3.7403307,3.2059855,0.43493143,0.08176251,1.9694629
