task,sub,condition,a,v,t,st,alpha
sternberg,subject1,s1,2.5448675,3.4281754,0.2577536,0.14442861,1.477155
sternberg,subject10,s1,2.7885087,2.8928761,0.29263294,0.1596406,1.4765222
sternberg,subject100,s1,2.7943244,5.155839,0.3664697,0.1261085,1.5304238
sternberg,subject101,s1,2.2125063,3.897759,0.23574045,0.117435485,1.5318828
sternberg,subject102,s1,2.303157,3.255564,0.2923693,0.15772377,1.4658906
sternberg,subject103,s1,2.4431643,3.7860553,0.23062584,0.12798831,1.5266253
sternberg,subject104,s1,2.144734,3.970141,0.23888598,0.1203973,1.4782916
sternberg,subject105,s1,2.565946,2.7535982,0.25736818,0.15980335,1.5316658
sternberg,subject106,s1,2.3085053,1.6939347,0.2654968,0.14097817,1.4725844
sternberg,subject107,s1,2.8534496,4.267373,0.26691166,0.15025488,1.5403881
sternberg,subject108,s1,2.8985674,3.4755893,0.2716851,0.15447247,1.5772865
sternberg,subject109,s1,2.3182607,4.1101913,0.24313793,0.11978863,1.4272463
sternberg,subject11,s1,1.7347424,1.7169405,0.24384843,0.1352475,1.4425497
sternberg,subject110,s1,2.3827069,4.107579,0.21741635,0.123734765,1.5188746
sternberg,subject111,s1,2.3631163,5.1498823,0.23000222,0.09323442,1.4399121
sternberg,subject112,s1,2.236507,3.669683,0.22384569,0.11845623,1.4967966
sternberg,subject113,s1,2.177282,3.9401855,0.25201088,0.11315164,1.4547225
sternberg,subject114,s1,2.3021994,3.8621445,0.21860912,0.11199061,1.4599305
sternberg,subject115,s1,2.5778441,2.8584733,0.22689687,0.13490117,1.5835067
sternberg,subject116,s1,2.7749953,3.7129767,0.30626652,0.19740394,1.4263033
sternberg,subject117,s1,3.3482623,1.9686754,0.16922039,0.24545348,1.4728104
sternberg,subject118,s1,2.3856108,6.3083234,0.26012844,0.08042727,1.4642874
sternberg,subject119,s1,2.2231226,2.1417198,0.22552332,0.1271506,1.5392605
sternberg,subject12,s1,1.7542952,2.6125116,0.25943506,0.12617835,1.4365078
sternberg,subject120,s1,2.08309,4.078799,0.27031934,0.11621278,1.4890839
sternberg,subject121,s1,2.253893,2.6673782,0.285872,0.18020616,1.3549407
sternberg,subject122,s1,2.1581998,3.3552454,0.20170726,0.11927876,1.546273
sternberg,subject123,s1,2.3938446,3.08504,0.13606602,0.1985781,1.4839512
sternberg,subject124,s1,2.542495,3.3584695,0.2629193,0.13524643,1.4171476
sternberg,subject125,s1,2.7997508,4.2606378,0.30755907,0.13610429,1.2933214
sternberg,subject126,s1,2.9864352,3.1663787,0.25315922,0.15660614,1.5876098
sternberg,subject127,s1,2.4801033,4.1757836,0.26415843,0.12387352,1.4673291
sternberg,subject128,s1,2.5740893,5.103963,0.25553754,0.10188115,1.4958549
sternberg,subject129,s1,2.3826194,4.169533,0.25121912,0.10578988,1.3871545
sternberg,subject13,s1,2.218344,4.495969,0.2557227,0.105921485,1.3650349
sternberg,subject130,s1,2.747242,5.0289507,0.25560272,0.11670531,1.4958915
sternberg,subject131,s1,2.156298,5.681793,0.25366044,0.08726814,1.4073317
sternberg,subject132,s1,2.069838,3.830234,0.21476087,0.11662546,1.5239552
sternberg,subject133,s1,2.052503,3.7781806,0.3125121,0.14505416,1.3562979
sternberg,subject134,s1,2.5222747,5.657345,0.25759077,0.09828967,1.5131358
sternberg,subject14,s1,2.4597855,2.4789546,0.28736687,0.1737513,1.4678166
sternberg,subject15,s1,2.2779784,4.4569345,0.2614646,0.10937331,1.4862617
sternberg,subject16,s1,2.232911,3.0386095,0.20637459,0.12230506,1.5162143
sternberg,subject17,s1,2.2999198,3.319327,0.24369347,0.12238839,1.4907651
sternberg,subject18,s1,2.3958592,6.320152,0.35237017,0.087454654,1.4985316
sternberg,subject19,s1,2.3827736,4.6405373,0.27211756,0.1147723,1.5208317
sternberg,subject2,s1,2.194793,3.563914,0.26328796,0.12659633,1.3834311
sternberg,subject20,s1,2.2413795,4.370899,0.20806237,0.10633424,1.4005561
sternberg,subject21,s1,2.6662664,4.9351764,0.42884448,0.18119283,1.5463903
sternberg,subject22,s1,1.9109223,2.0218322,0.2282137,0.13273352,1.3060405
sternberg,subject23,s1,2.5650568,1.7798347,0.16544153,0.22901422,1.4374026
sternberg,subject24,s1,2.4252703,4.292121,0.26212057,0.12671962,1.528852
sternberg,subject25,s1,2.215094,2.8261068,0.2386116,0.14142114,1.5609645
sternberg,subject26,s1,2.4891436,3.352649,0.26311848,0.1739927,1.5566721
sternberg,subject27,s1,2.683674,3.5120435,0.2877658,0.1567862,1.5470848
sternberg,subject28,s1,2.3176267,5.843089,0.25291842,0.086729884,1.4908603
sternberg,subject29,s1,2.038969,4.9090686,0.27139753,0.09530894,1.4525797
sternberg,subject3,s1,3.1651416,3.521118,0.48233768,0.2314873,1.3326513
sternberg,subject30,s1,2.0112076,6.3551865,0.23887877,0.0701572,1.3760942
sternberg,subject31,s1,2.589967,5.121283,0.29124883,0.111290686,1.4650809
sternberg,subject32,s1,1.9503646,2.3244166,0.21949682,0.12414277,1.4715135
sternberg,subject33,s1,2.7375436,2.2359576,0.22803994,0.13649498,1.5491492
sternberg,subject34,s1,2.0643816,4.165514,0.24211209,0.1054754,1.4771852
sternberg,subject35,s1,2.4006197,4.046505,0.31175897,0.13533446,1.469046
sternberg,subject36,s1,2.380905,3.4865384,0.260989,0.16659118,1.5788541
sternberg,subject37,s1,1.7679632,3.2919824,0.24966876,0.120244294,1.4409039
sternberg,subject38,s1,2.6174338,2.5039778,0.25640142,0.14736637,1.492288
sternberg,subject39,s1,2.9590118,2.8121724,0.30035794,0.15526678,1.5154246
sternberg,subject4,s1,2.3377361,2.8889048,0.2508151,0.14530702,1.4351215
sternberg,subject40,s1,2.1263068,4.2257605,0.2617728,0.11101319,1.4272573
sternberg,subject41,s1,2.4350152,3.9228604,0.24737051,0.12396323,1.4654602
sternberg,subject42,s1,2.1208801,4.120534,0.25592047,0.121868566,1.4869866
sternberg,subject43,s1,2.5976558,2.7752304,0.20971467,0.1367876,1.6096058
sternberg,subject44,s1,2.5730855,4.7399435,0.28364587,0.120314814,1.4898889
sternberg,subject45,s1,2.2621238,5.441034,0.24103259,0.093071856,1.400348
sternberg,subject46,s1,2.4136271,4.357351,0.24283251,0.123713285,1.5240685
sternberg,subject47,s1,2.70411,2.9957745,0.26936924,0.17734778,1.4711497
sternberg,subject48,s1,2.5578809,4.4254036,0.28068554,0.13935526,1.5695494
sternberg,subject49,s1,2.2483072,4.7157435,0.35535136,0.120154284,1.4001358
sternberg,subject5,s1,2.5187051,2.8720999,0.24694525,0.16353406,1.5031717
sternberg,subject50,s1,2.3953278,4.8708005,0.28784353,0.11402463,1.3649769
sternberg,subject51,s1,1.9473858,4.675974,0.22230323,0.09894038,1.4609922
sternberg,subject52,s1,2.3233287,6.285843,0.3053619,0.088770926,1.4866319
sternberg,subject53,s1,2.1599584,5.9134974,0.30016747,0.087616086,1.4179089
sternberg,subject54,s1,2.853251,3.7905555,0.3206383,0.14835449,1.4070119
sternberg,subject55,s1,2.5571976,4.01296,0.27148595,0.14491194,1.5311306
sternberg,subject56,s1,2.2975721,6.6249003,0.28795162,0.07979529,1.4705715
sternberg,subject57,s1,2.3842182,3.7420084,0.23748547,0.13539854,1.4972773
sternberg,subject58,s1,2.3872151,4.254433,0.2587309,0.1131514,1.4945357
sternberg,subject59,s1,1.9835527,6.085093,0.27517378,0.086770885,1.4835529
sternberg,subject6,s1,2.3967402,3.193965,0.21024787,0.12440606,1.5655631
sternberg,subject60,s1,2.218543,4.7013693,0.28682518,0.115657985,1.3940336
sternberg,subject61,s1,2.3286443,3.7757497,0.26727206,0.13523263,1.5254247
sternberg,subject62,s1,2.1168723,4.10817,0.22204643,0.10812116,1.3997462
sternberg,subject63,s1,2.5312397,3.3447468,0.30999136,0.16260967,1.3136647
sternberg,subject64,s1,2.3306115,5.3153577,0.27228072,0.1040082,1.395761
sternberg,subject65,s1,2.5051513,4.773471,0.22423862,0.10015326,1.4015108
sternberg,subject66,s1,2.2124803,3.8659422,0.28354964,0.13346013,1.449292
sternberg,subject67,s1,2.493611,2.8153014,0.30567524,0.13471344,1.5339676
sternberg,subject68,s1,2.2845824,5.1071563,0.2520694,0.10766812,1.5138816
sternberg,subject69,s1,2.944828,3.7041416,0.36781678,0.17251885,1.4506243
sternberg,subject7,s1,2.3107429,2.97442,0.22049884,0.13869475,1.5310968
sternberg,subject70,s1,2.4943082,1.9954903,0.33823693,0.14365354,1.5122865
sternberg,subject71,s1,2.508224,4.23945,0.21065754,0.1174867,1.5536956
sternberg,subject72,s1,1.9936711,3.553281,0.32644254,0.21619292,1.4289573
sternberg,subject73,s1,1.8738968,3.9080849,0.2933386,0.1133561,1.379315
sternberg,subject74,s1,2.333575,6.370548,0.24551478,0.08227059,1.4684051
sternberg,subject75,s1,2.6713762,3.0061383,0.29210812,0.1778555,1.495537
sternberg,subject76,s1,2.6349463,4.255396,0.24866557,0.11687426,1.5287739
sternberg,subject77,s1,2.570552,3.372304,0.32082528,0.1467209,1.4474459
sternberg,subject78,s1,2.6115725,3.6565757,0.2668876,0.1453356,1.5362923
sternberg,subject79,s1,2.83001,4.3011503,0.23921886,0.12717234,1.4559902
sternberg,subject8,s1,2.4443784,5.057022,0.22689241,0.09615559,1.3542204
sternberg,subject80,s1,2.5552425,5.109327,0.26960903,0.102987796,1.4493868
sternberg,subject81,s1,2.0905619,3.3107295,0.27040523,0.12269686,1.5095631
sternberg,subject82,s1,2.703343,3.5578184,0.28096387,0.14164333,1.4434111
sternberg,subject83,s1,2.3724768,3.168726,0.24396348,0.13427669,1.5083894
sternberg,subject84,s1,2.233729,3.5380833,0.23440208,0.12519853,1.5256234
sternberg,subject85,s1,2.6586199,3.9908266,0.37616417,0.19639008,1.4729168
sternberg,subject86,s1,2.3484738,5.2192936,0.24799725,0.09769436,1.4096454
sternberg,subject87,s1,2.2015467,3.1610425,0.26734617,0.15629135,1.4802029
sternberg,subject88,s1,2.2730994,6.065519,0.27460748,0.08634572,1.4478544
sternberg,subject89,s1,2.8606725,2.9256835,0.2849776,0.16198424,1.5120217
